THEODORE,JAMES,5581816,48.69,7919.78
CLIFFORD,JOHN,6119063,329644.42,329688.93
MIGUEL,ROBERT,2453211,6667629.40,6668274.82
OSCAR,MICHAEL,3634247,70.08,63169.24
JAY,WILLIAM,6818562,0.79,38450.66
JIM,DAVID,4710043,1529646.96,1529647.40
TOM,RICHARD,9191700,0.55,6548.50
CALVIN,CHARLES,1111099,683626.12,684997.56
ALEX,JOSEPH,8998351,6102.13,6437.31
JON,THOMAS,6717359,0.52,986.85
RONNIE,CHRISTOPHER,9490453,0.21,1.61
BILL,DANIEL,6793110,44.95,762.03
LLOYD,PAUL,3252377,103.13,103.29
TOMMY,MARK,9856419,0.59,66.38
LEON,DONALD,5820450,3817830.00,3821517.45
DEREK,GEORGE,7832024,6096357.29,6096358.08
WARREN,KENNETH,3639794,62.63,63.37
DARRELL,STEVEN,9387086,928.79,933.44
JEROME,EDWARD,7231354,6077.61,6078.02
FLOYD,BRIAN,4869402,0.99,97969.98
LEO,RONALD,5032873,0.61,0.69
ALVIN,ANTHONY,2901186,56228.05,58199.26
TIM,KEVIN,9412431,9.76,9.77
WESLEY,JASON,4423521,858.56,867.11
GORDON,MATTHEW,8899008,27.59,30.62
DEAN,GARY,9790102,0.77,38.05
GREG,TIMOTHY,5653551,8457.61,8468.71
JORGE,JOSE,8330968,6715.57,7537.27
DUSTIN,LARRY,9614182,0.42,20144.27
PEDRO,JEFFREY,300418,907.83,907.83
DERRICK,FRANK,7300266,64.26,64.26
DAN,SCOTT,5428854,8.72,47.15
LEWIS,ERIC,4518775,75063.04,75065.42
ZACHARY,STEPHEN,4521173,0.83,0.84
COREY,ANDREW,3992226,65.18,682.88
HERMAN,RAYMOND,7981690,8985052.19,8985734.85
MAURICE,GREGORY,5382267,0.38,0.38
VERNON,JOSHUA,3465680,302.49,303.26
ROBERTO,JERRY,4963003,557514.17,557834.41
CLYDE,DENNIS,5060980,8502770.21,8549980.61
GLEN,WALTER,3696777,940.12,44671.92
HECTOR,PATRICK,7845769,756.41,757.00
SHANE,PETER,7751055,0.71,85.81
RICARDO,HAROLD,5896486,245.11,20835.00
SAM,DOUGLAS,1499678,4.41,1178.12
RICK,HENRY,833741,0.12,66.20
LESTER,CARL,6824761,889.24,19961.68
BRENT,ARTHUR,7218195,30.64,30.65
RAMON,RYAN,5119179,69.70,2681.93
CHARLIE,ROGER,5861629,6644865.08,6644868.53
TYLER,JOE,5088898,179319.35,182047.55
GILBERT,JUAN,7973783,0.06,180.67
GENE,JACK,7220949,33.32,33.41
MARC,ALBERT,351442,612051.16,612094.39
REGINALD,JONATHAN,8202164,12.59,21.96
RUBEN,JUSTIN,1981627,2432.07,9675.61
BRETT,TERRY,1483335,2246685.57,2246686.39
ANGEL,GERALD,1320817,230.09,230.15
NATHANIEL,KEITH,6149642,58.91,215.49
RAFAEL,SAMUEL,3315838,9.97,105.45
LESLIE,WILLIE,6491963,0.43,11.60
EDGAR,RALPH,3435866,522.70,522.71
MILTON,LAWRENCE,8033513,89754.36,89754.40
RAUL,NICHOLAS,6029631,873072.29,873072.74
BEN,ROY,3677957,36.39,636.31
CHESTER,BENJAMIN,7480874,9698005.02,9698005.03
CECIL,BRUCE,2636318,91.29,7822.26
DUANE,BRANDON,9484805,2.97,3.02
FRANKLIN,ADAM,8567957,0.11,5.49
ANDRE,HARRY,8386388,0.54,0.62
ELMER,FRED,27698,952.52,1549.27
BRAD,WAYNE,1626029,0.75,63.23
GABRIEL,BILLY,9388596,4.77,4.77
RON,STEVE,768875,238151.53,247225.42
MITCHELL,LOUIS,5938488,956.80,1847.80
ROLAND,JEREMY,5475483,24.51,65531.11
ARNOLD,AARON,2727918,0.56,31.68
HARVEY,RANDY,6089629,2998385.58,2999126.90
JARED,HOWARD,2662894,96.23,96.26
ADRIAN,EUGENE,6620217,18.19,18336.19
KARL,CARLOS,6564128,9.57,401.70
CORY,RUSSELL,4434906,19.83,729.21
CLAUDE,BOBBY,3468564,962.47,1839.14
ERIK,VICTOR,3336764,8.22,906.78
DARRYL,MARTIN,2428892,9624.62,11548.51
JAMIE,ERNEST,9068315,9186.95,9186.95
NEIL,PHILLIP,9725920,0.95,9.59
JESSIE,TODD,2106415,61.14,465.40
CHRISTIAN,JESSE,8317542,673.20,673.25
JAVIER,CRAIG,3613344,25549.68,25623.75
FERNANDO,ALAN,4253891,0.07,0.08
CLINTON,SHAWN,8788078,1.27,1.27
TED,CLARENCE,9597904,53535.01,53582.04
MATHEW,SEAN,1223335,1.55,1.64
TYRONE,PHILIP,9775508,8.96,11.62
DARREN,CHRIS,1436531,6574.62,6596.72
LONNIE,JOHNNY,7477619,1.46,45.24
LANCE,EARL,7842146,9.84,68044.00
CODY,JIMMY,8782394,0.75,40610.36
JULIO,ANTONIO,3316491,1.85,1.85
KELLY,DANNY,8994851,83.65,83.68
KURT,BRYAN,5913437,67475.77,70012.27
ALLAN,TONY,6083556,743.56,832.36
NELSON,LUIS,9910711,739.67,3550.58
GUY,MIKE,4821052,5627.30,5640.62
CLAYTON,STANLEY,5102133,489.69,8234.27
HUGH,LEONARD,58975,6.63,6.66
